Date,Open,High,Low,Close,Adj Close,Volume
13/10/2024,63156.1,63284.6,62054.2,62236.5,62236.5,0
12/10/2024,62565.8,63284.6,62680.0,62707.2,62707.2,0
11/10/2024,60612.4,63037.9,62486.1,62538.0,62538.0,0
10/10/2024,60857.1,60698.5,60080.6,60659.6,60659.6,0
09/10/2024,62389.1,60947.5,60370.7,60888.8,60888.8,0
08/10/2024,62624.1,62479.3,62010.1,62369.5,62369.5,0
07/10/2024,63529.7,62802.0,62166.9,62596.4,62596.4,0
06/10/2024,61886.2,63958.3,62670.2,63510.8,63510.8,0
05/10/2024,61861.7,62145.7,61889.5,61920.9,61920.9,0
04/10/2024,60950.6,62192.7,61705.7,61931.3,61931.3,0
03/10/2024,61463.2,61269.6,60469.3,60970.0,60970.0,0
02/10/2024,61748.2,61371.1,60544.0,61336.2,61336.2,0
01/10/2024,63722.2,61877.5,60752.2,61774.4,61774.4,0
30/09/2024,64546.9,63734.1,63007.7,63686.5,63686.5,0
29/09/2024,65817.3,65607.0,64215.2,64520.2,64520.2,0
28/09/2024,65989.0,65980.8,65654.8,65756.2,65756.2,0
27/09/2024,65373.5,66232.5,65732.7,66069.1,66069.1,0
26/09/2024,63502.3,65355.0,64839.2,65355.0,65355.0,0
25/09/2024,64456.8,63537.2,62693.3,63503.9,63503.9,0
24/09/2024,63125.5,64788.5,64018.9,64401.6,64401.6,0
23/09/2024,64350.8,63394.4,62740.8,63130.0,63130.0,0
22/09/2024,63108.5,64723.4,62650.0,64414.3,64414.3,0
21/09/2024,62889.9,63441.2,62836.9,63084.3,63084.3,0
20/09/2024,63705.7,63285.7,62829.2,62952.5,62952.5,0
19/09/2024,62116.0,63563.7,62624.8,63563.7,63563.7,0
18/09/2024,60513.2,62539.8,61596.5,62087.1,62087.1,0
17/09/2024,58056.0,60755.0,59911.2,60579.3,60579.3,0
16/09/2024,58576.1,58342.4,57630.2,58111.1,58111.1,0
15/09/2024,60160.0,59204.3,58138.6,58562.0,58562.0,0
14/09/2024,60295.0,60268.2,59994.1,60145.7,60145.7,0
13/09/2024,58053.0,60609.4,60293.7,60350.7,60350.7,0
12/09/2024,57946.6,58240.7,57882.8,57907.8,57907.8,0
11/09/2024,56926.3,58445.7,57335.5,58259.2,58259.2,0
10/09/2024,56777.3,57726.1,56704.8,56777.6,56777.6,0
09/09/2024,55119.8,57059.9,56584.5,56595.3,56595.3,0
08/09/2024,54340.2,55337.4,54740.2,55184.9,55184.9,0
07/09/2024,52865.6,54819.2,53754.3,54179.0,54179.0,0
06/09/2024,56593.9,54066.6,53754.3,53836.6,53836.6,0
